dialect_id,dialect_name,word_id,concept,othography,english,ipa_no_tone,ipa_with_tone,ipa_converted_no_tone,ipa_converted_with_tone
NC,Nanchang,1,太阳,太阳,,tˈai iɔŋ,tˈai213 iɔŋ04,tˈai iɔŋ,tˈai213 iɔŋ04
NC,Nanchang,2,月亮,月光,,ȵyɵʔ kuɔŋ,ȵyɵʔ2 kuɔŋ42,ɲyɵʔ kuɔŋ,ɲyɵʔ2 kuɔŋ42
NC,Nanchang,3,星星,星子 ,,siɑŋ tsɿ,siɑŋ42 tsɿ02,siɑŋ tsɹ̩,siɑŋ42 tsɹ̩02
NC,Nanchang,4,打雷,打雷 ,,tɑ lui,tɑ213 lui45,tɑ lui,tɑ213 lui45
NC,Nanchang,5,闪电,打霍闪,,tɑ fɔʔ sɛn,tɑ213 fɔʔ5 sɛn02,tɑ fɔʔ sɛn,tɑ213 fɔʔ5 sɛn02
NC,Nanchang,6,下雨,落雨 ,,lɔʔ y,lɔʔ2 y213,lɔʔ y,lɔʔ2 y213
NC,Nanchang,7,下雪,落雪 ,,lɔʔ ɕyɵʔ,lɔʔ2 ɕyɵʔ5,lɔʔ ɕyɵʔ,lɔʔ2 ɕyɵʔ5
NC,Nanchang,8,冰雹,雹子 ,,pˈɔʔ tsɿ,pˈɔʔ2 tsɿ02,pˈɔʔ tsɹ̩,pˈɔʔ2 tsɹ̩02
NC,Nanchang,9,结冰,结冰 ,,tɕiɛʔ pin,tɕiɛʔ5 pin42,tɕiɛʔ pin,tɕiɛʔ5 pin42
NC,Nanchang,10,刮风,起风 ,,tɕˈi fuŋ,tɕˈi213 fuŋ42,tɕˈi fuŋ,tɕˈi213 fuŋ42
NC,Nanchang,11,虹,虹 ,,kɔŋ,kɔŋ45,kɔŋ,kɔŋ45
NC,Nanchang,12,端午节,端午,,tɵn u,tɵn42 u213,tɵn u,tɵn42 u213
NC,Nanchang,13,中秋节,中秋 ,,tsuŋ tɕˈiu,tsuŋ42 tɕˈiu42,tsuŋ tɕˈiu,tsuŋ42 tɕˈiu42
NC,Nanchang,14,除夕,三十夜晚 ,,san sɨʔ iɑ uan,san42 sɨʔ2 iɑ21 uan213,san sɨʔ iɑ uan,san42 sɨʔ2 iɑ21 uan213
NC,Nanchang,15,今年,今年 ,,tɕin ȵiɛn,tɕin42 ȵiɛn02,tɕin ɲiɛn,tɕin42 ɲiɛn02
NC,Nanchang,16,明年,明年 ,,miɑŋ ȵiɛn,miɑŋ45 ȵiɛn04,miɑŋ ɲiɛn,miɑŋ45 ɲiɛn04
NC,Nanchang,17,去年,旧年 ,,tɕˈiu ȵiɛn,tɕˈiu21 ȵiɛn02,tɕˈiu ɲiɛn,tɕˈiu21 ɲiɛn02
NC,Nanchang,18,明天,明日,,miɑŋ ȵiʔ,miɑŋ45 ȵiʔ04,miɑŋ ɲiʔ,miɑŋ45 ɲiʔ04
NC,Nanchang,19,昨天,昨日,,tsˈɔʔ ȵiʔ,tsˈɔʔ2 ȵiʔ02,tsˈɔʔ ɲiʔ,tsˈɔʔ2 ɲiʔ02
NC,Nanchang,20,今天,今日,,tɕin ȵiʔ,tɕin42 ȵiʔ02,tɕin ɲiʔ,tɕin42 ɲiʔ02
NC,Nanchang,21,星期天,礼拜 ,,li pai,li213 pai45,li pai,li213 pai45
NC,Nanchang,22,麦子,麦子 ,,mɑʔ tsɿ,mɑʔ2 tsɿ02,mɑʔ tsɹ̩,mɑʔ2 tsɹ̩02
NC,Nanchang,23,大米,米 ,,mi,mi213,mi,mi213
NC,Nanchang,24,蚕豆,蚕豆 ,,tsˈɵn tˈɛu,tsˈɵn24 tˈɛu21,tsˈɵn tˈɛu,tsˈɵn24 tˈɛu21
NC,Nanchang,25,向日葵,葵花 ,,kˈui fɑ,kˈui24 fɑ42,kˈui fɑ,kˈui24 fɑ42
NC,Nanchang,26,菠菜,菠菜 ,,po tsˈai,po42 tsˈai02,po tsˈai,po42 tsˈai02
NC,Nanchang,27,卷心菜,包菜 ,,pɑu tsˈai,pɑu42 tsˈai02,pɑu tsˈai,pɑu42 tsˈai02
NC,Nanchang,28,西红柿,番茄 ,,fan tɕˈiɑ,fan42 tɕˈiɑ24,fan tɕˈiɑ,fan42 tɕˈiɑ24
NC,Nanchang,29,茄子,茄子 ,,tɕˈiɑ tsɿ,tɕˈiɑ24 tsɿ04,tɕˈiɑ tsɹ̩,tɕˈiɑ24 tsɹ̩04
NC,Nanchang,30,白薯,萝卜薯 ,,lo pˈo ɕy,lo45 pˈo04 ɕy45,lo pˈo ɕy,lo45 pˈo04 ɕy45
NC,Nanchang,31,马铃薯,洋芋头 ,,iɔŋ y tˈɛu,iɔŋ45 y21 tˈɛu02,iɔŋ y tˈɛu,iɔŋ45 y21 tˈɛu02
NC,Nanchang,32,南瓜,北瓜 ,,pɛʔ kuɑ,pɛʔ5 kuɑ42,pɛʔ kuɑ,pɛʔ5 kuɑ42
NC,Nanchang,33,猪,猪 ,,tɕy,tɕy42,tɕy,tɕy42
NC,Nanchang,34,公猪,猪牯里 ,,tɕy ku li,tɕy42 ku02 li02,tɕy ku li,tɕy42 ku02 li02
NC,Nanchang,35,母猪,猪婆 ,,tɕy pˈo,tɕy42 pˈo02,tɕy pˈo,tɕy42 pˈo02
NC,Nanchang,36,公鸡,鸡公 ,,tɕi kuŋ,tɕi42 kuŋ42,tɕi kuŋ,tɕi42 kuŋ42
NC,Nanchang,37,母鸡,鸡婆 ,,tɕi pˈo,tɕi42 pˈo24,tɕi pˈo,tɕi42 pˈo24
NC,Nanchang,38,麻雀,奸雀子 ,,kan tɕˈiɔʔ tsɿ,kan42 tɕˈiɔʔ02 tsɿ02,kan tɕˈiɔʔ tsɹ̩,kan42 tɕˈiɔʔ02 tsɹ̩02
NC,Nanchang,39,老鼠,老鼠,,lau ɕy,lau213 ɕy04,lau ɕy,lau213 ɕy04
NC,Nanchang,40,臭虫,臭虫 ,,tsˈɨu tsˈuŋ,tsˈɨu213 tsˈuŋ04,tsˈɨu tsˈuŋ,tsˈɨu213 tsˈuŋ04
NC,Nanchang,41,房子(整),屋 ,,uʔ,uʔ5,uʔ,uʔ5
NC,Nanchang,42,房子(单),房 ,,fɔŋ,fɔŋ45,fɔŋ,fɔŋ45
NC,Nanchang,43,窗户,窗子 ,,tsˈɔŋ tsɿ,tsˈɔŋ42 tsɿ02,tsˈɔŋ tsɹ̩,tsˈɔŋ42 tsɹ̩02
NC,Nanchang,44,门坎,门坎 ,,mɨn kan,mɨn45 kan04,mɨn kan,mɨn45 kan04
NC,Nanchang,45,厕所,茅缸,,mɑu kɔŋ,mɑu45 kɔŋ42,mɑu kɔŋ,mɑu45 kɔŋ42
NC,Nanchang,46,厨房,厨房 ,,tɕˈy fɔŋ,tɕˈy24 fɔŋ04,tɕˈy fɔŋ,tɕˈy24 fɔŋ04
NC,Nanchang,47,烟囱,烟筒 ,,iɛn tˈuŋ,iɛn42 tˈuŋ02,iɛn tˈuŋ,iɛn42 tˈuŋ02
NC,Nanchang,48,桌子,桌子 ,,tsɔʔ tsɿ,tsɔʔ5 tsɿ02,tsɔʔ tsɹ̩,tsɔʔ5 tsɹ̩02
NC,Nanchang,49,楼梯,楼梯 ,,lɛu tˈi,lɛu45 tˈi04,lɛu tˈi,lɛu45 tˈi04
NC,Nanchang,50,头,头,,tˈɛu,tˈɛu24,tˈɛu,tˈɛu24
NC,Nanchang,51,额头,脑瓜,,lɑu kuɑ,lɑu213 kuɑ04,lɑu kuɑ,lɑu213 kuɑ04
NC,Nanchang,52,脸,脸 ,,liɛn,liɛn213,liɛn,liɛn213
NC,Nanchang,53,鼻子,鼻公 ,,pˈiʔ kuŋ,pˈiʔ2 kuŋ02,pˈiʔ kuŋ,pˈiʔ2 kuŋ02
NC,Nanchang,54,脖子,颈 ,,tɕiɑŋ,tɕiɑŋ213,tɕiɑŋ,tɕiɑŋ213
NC,Nanchang,55,左手,左手 ,,tso sɨu,tso213 sɨu213,tso sɨu,tso213 sɨu213
NC,Nanchang,56,右手,右手 ,,iu sɨu,iu21 sɨu213,iu sɨu,iu21 sɨu213
NC,Nanchang,57,拳头,拳头 ,,tɕˈyɵn tˈɛu,tɕˈyɵn24 tˈɛu04,tɕˈyɵn tˈɛu,tɕˈyɵn24 tˈɛu04
NC,Nanchang,58,手指头,指头子,,tsɨʔ tˈɛu tsɿ,tsɨʔ5 tˈɛu02 tsɿ02,tsɨʔ tˈɛu tsɹ̩,tsɨʔ5 tˈɛu02 tsɹ̩02
NC,Nanchang,59,指甲,指甲子,,tsɨʔ kaʔ tsɿ,tsɨʔ5 kaʔ02 tsɿ02,tsɨʔ kaʔ tsɹ̩,tsɨʔ5 kaʔ02 tsɹ̩02
NC,Nanchang,60,膝盖,克膝头子 ,,kˈiɛʔ ɕiʔ tˈɛu tsɿ,kˈiɛʔ5 ɕiʔ5 tˈɛu24 tsɿ04,kˈiɛʔ ɕiʔ tˈɛu tsɹ̩,kˈiɛʔ5 ɕiʔ5 tˈɛu24 tsɹ̩04
NC,Nanchang,61,腿,脚 ,,tɕiɔʔ,tɕiɔʔ5,tɕiɔʔ,tɕiɔʔ5
NC,Nanchang,62,父亲,爸 ,,pɑʔ,pɑʔ5,pɑʔ,pɑʔ5
NC,Nanchang,63,母亲,姆妈 ,,m̩ mɑ,m̩42 mɑ02,m̩ mɑ,m̩42 mɑ02
NC,Nanchang,64,祖父,公公 ,,kuŋ kuŋ,kuŋ42 kuŋ02,kuŋ kuŋ,kuŋ42 kuŋ02
